Time,Date,Humidity (%),Temp (C)
0,28-08-2021_00.05.48,62.4,26.8
30,28-08-2021_00.06.18,62.3,26.8
60,28-08-2021_00.06.48,62.3,26.8
90,28-08-2021_00.07.18,62.3,26.8
120,28-08-2021_00.07.48,62.4,26.8
150,28-08-2021_00.08.18,62.6,26.8
180,28-08-2021_00.08.48,63.1,26.8
210,28-08-2021_00.09.18,63.3,26.8
240,28-08-2021_00.09.48,63.4,26.8
270,28-08-2021_00.10.18,63.4,26.7
300,28-08-2021_00.10.48,63.4,26.8
330,28-08-2021_00.11.18,63.5,26.8
360,28-08-2021_00.11.48,63.5,26.8
390,28-08-2021_00.12.18,63.6,26.8
420,28-08-2021_00.12.48,63.5,26.7
450,28-08-2021_00.13.18,63.5,26.7
480,28-08-2021_00.13.48,63.5,26.7
510,28-08-2021_00.14.19,63.5,26.7
540,28-08-2021_00.14.49,63.6,26.7
570,28-08-2021_00.15.19,63.7,26.7
600,28-08-2021_00.15.49,63.6,26.7
630,28-08-2021_00.16.19,63.7,26.7
660,28-08-2021_00.16.49,63.7,26.7
690,28-08-2021_00.17.19,63.8,26.7
720,28-08-2021_00.17.49,63.9,26.7
750,28-08-2021_00.18.19,63.9,26.7
780,28-08-2021_00.18.49,63.8,26.7
810,28-08-2021_00.19.19,63.9,26.7
840,28-08-2021_00.19.49,63.8,26.7
870,28-08-2021_00.20.19,63.6,26.7
901,28-08-2021_00.20.49,63.5,26.7
931,28-08-2021_00.21.19,63.5,26.7
961,28-08-2021_00.21.49,63.3,26.7
916021,07-09-2021_14.32.49,63.4,26.8
916051,07-09-2021_14.33.19,63.5,26.8
916081,07-09-2021_14.33.49,63.5,26.7
916111,07-09-2021_14.34.19,63.9,26.8
916140,07-09-2021_14.34.49,64.3,26.8
916170,07-09-2021_14.35.19,64.1,26.8
916200,07-09-2021_14.35.49,64.4,26.9
916230,07-09-2021_14.36.19,64.6,26.9
916260,07-09-2021_14.36.49,64.8,26.9
916290,07-09-2021_14.37.19,64.7,27.0
916320,07-09-2021_14.37.49,64.4,27.0
916351,07-09-2021_14.38.19,64.2,27.0
916381,07-09-2021_14.38.49,64.3,27.0
916411,07-09-2021_14.39.19,64.2,27.0
916441,07-09-2021_14.39.49,64.3,27.0
916471,07-09-2021_14.40.19,64.7,27.0
916501,07-09-2021_14.40.49,64.6,27.0
916531,07-09-2021_14.41.19,64.6,27.0
916561,07-09-2021_14.41.49,64.7,27.0
916591,07-09-2021_14.42.19,64.7,26.9
916621,07-09-2021_14.42.49,64.9,27.0
916651,07-09-2021_14.43.19,65.0,27.0
916681,07-09-2021_14.43.49,65.1,27.0
916711,07-09-2021_14.44.19,65.2,27.0
916741,07-09-2021_14.44.49,65.2,26.9
916771,07-09-2021_14.45.20,65.3,26.9
916801,07-09-2021_14.45.50,65.4,26.9
916831,07-09-2021_14.46.20,65.5,26.9
916861,07-09-2021_14.46.50,65.7,26.9
916891,07-09-2021_14.47.20,65.6,26.9
916921,07-09-2021_14.47.50,65.7,26.9
916951,07-09-2021_14.48.20,65.7,26.9
916981,07-09-2021_14.48.50,65.7,26.9
917011,07-09-2021_14.49.20,65.5,26.9
